id,seed,problem,solution,is_offline_store,expected_primary,expected_alt,expected_secondary,category,note
D0018,원데이 콘택트렌즈·가정용 시력측정 보조기기 전문 소매점,온라인 구매의 불편함과 즉시 착용·체험 필요 때문에 소비자들이 근처 매장에서 원데이 렌즈와 간단한 시력측정 보조기기를 구매하길 원함.,"일회용 콘택트렌즈, 렌즈용 세정제, 간이 시력측정기(가정용·휴대용) 등 광학용품과 렌즈 관련 액세서리를 도매로 매입해 소매 및 매장 내 간단한 착용·설명 서비스를 제공한다(정밀 검사·처방은 전문병원별도).",True,523552,,,명확단일,광학용품(콘택트·간이측정기 등) 및 정밀기기 소매
D0019,가죽자켓·가죽소품 전문 리테일(완제품 구입 후 판매),"고품질 가죽 의류와 소품(가죽 재킷, 가죽가방, 장갑)을 찾는 소비자는 전문 매장에서 브랜드와 품질을 직접 비교하고 구매하길 원함.","국내외 가죽 및 모피 의복 완제품(재킷, 코트, 가죽 팬츠)과 가죽 액세서리를 도매로 구매해 매장에서 소매 판매한다(자체 봉제·제작은 하지 않고 기성품 소매).",True,523236,,,명확단일,가죽·모피 의복 및 관련 완제품 소매
D0020,프리미엄 도자기·주방칼·글라스웨어 전문 소매점(레스토랑·홈셰프 대상),전문 주방도구와 도자기·유리 제품은 품질과 디자인 차이가 커서 요식업체·홈셰프가 직접 보고 구매하길 원함.,"일본·유럽 수입 도자기, 전문 셰프용 주방칼, 내열 유리제품 등을 도매로 수입·구입하여 오프라인 전시·소매 및 기업 납품 소량 공급을 한다(제조 아님).",True,523422,,,명확단일,주방용품·가정용 유리·요업제품 전문 소매
D0022,전문 공구·전동공구 소매점(전문 목수·소규모 건설업체 대상),소규모 건설업체와 전문 목수들은 고성능 전동공구와 보수 부품을 바로 구매하고 싶은 수요가 많음.,"전동드릴, 임팩트 드라이버, 절단공구, 조절형 렌치 등 비동력·동력 공구 및 소모품(날·배터리)을 도매로 매입해 소매하고, 간단한 수리·배터리 충전 서비스를 병행한다(도구 직접 제조 없이 소매).",True,524001,,,명확단일,수공구 및 동력공구(전동공구) 전문 소매
D0023,노트북·데스크탑 및 주변기기 수리점(진단·부품교체·출장수리),홈오피스 확대로 노트북·데스크탑 고장·데이터 손상 발생 증가. 개인과 소규모 기업 대상 신속 진단과 출장수리가 부족하다.,"매장형 수리·진단 워크숍을 열고 SSD/메모리 교체, 데이터 복구, 바이러스 제거, 프린터·모니터 등 주변기기 수리와 기업용 정기 유지보수 계약(월정액)을 판매. 출장 방문 수리와 원격지원 요금제를 병행.",True,725000,,,명확단일,컴퓨터 및 주변 기기 수리업
D0024,가전제품 방문수리 서비스(냉장고·세탁기·에어컨 고장수리),"대형 가전 고장 시 고객이 매장 이동이 어렵고, 신속한 방문수리 수요가 높다. 온라인 예약으로 당일 방문 서비스를 제공하면 경쟁력 있음.","기사 기반의 출장수리 서비스 운영: 콜출동·진단비, 부품교체, 계절별 점검 패키지 판매(에어컨 여름점검 등), 법인 아파트 관리사무소와 정기점검 계약을 체결하여 안정적 매출 확보.",False,922104,,,명확단일,가전제품 수리업
D0025,가죽가방·신발 수선·리폼 전문점(지퍼교체·가죽염색·굽교체),고가 가죽 가방·수제화 보유자가 재수선·리폼으로 제품 수명 연장을 원함. 적정 가격대의 정밀 수선 수요가 꾸준함.,"오프라인 수선점에서 가죽염색, 지퍼·스트랩 교체, 굽·창 수선, 방수·보호코팅 서비스를 제공. 고급 가방 복원 및 브랜드 수선 위탁 서비스로 수익 다각화.",True,922108,,,명확단일,"가죽, 가방 및 신발 수리업"
D0026,시계·귀금속·악기 수리·리페어 숍(시계오버홀·반지사이즈·바이올린 셋업),고급 시계·악기·귀금속은 전문 수리가 필요하며 지역 내 전문점 부족. 정기 점검과 커스터마이징 수요 존재.,"시계 오버홀, 배터리·밴드 교체, 귀금속 리사이징·용접·세척, 현악기 셋업 및 튜닝 서비스를 매장형으로 제공. 고가 수리·감정 서비스로 추가 수익.",True,922109,,,명확단일,"시계, 귀금속 및 악기 수리업"
D0027,가구·정원용 장비 수리 및 복원 공방(목재가구 수선·예초기·전동공구 점검),"맞춤 가구 수선과 오래된 가구 복원 수요가 있으며, 정원용 전동공구(예초기·전정기) 수리도 필요함.","목재가구 접합·도장·재가공, 소파·리클라이너 간단 수리, 정원용 장비(톱, 예초기) 점검·날갈이·정비 서비스를 제공. 수거·배달·현장 방문 수선 옵션 병행.",True,922101,,,명확단일,그 외 기타 개인 및 가정용품 수리업(가구·정원용 장비 등)
D0028,드론 및 정밀전자기기 수리·교정 워크숍(짐벌·센서·비행제어 보드 수리),드론 촬영 수요 증가로 센서·짐벌·비행제어기 관련 고장·교정 서비스 수요 확대. 정밀 조정과 펌웨어 복구가 필요함.,"정밀 납땜, 센서 교체, 모터·짐벌 정밀조정, 펌웨어 복원 및 캘리브레이션 서비스를 제공. 드론 기업·촬영 스튜디오 대상 유지보수 계약과 교육 워크숍 병행.",True,922103,,,명확단일,전기·전자 및 정밀 기기 수리업
D0029,굴삭기·덤프·콘크리트펌프 등 건설장비 수리·정비 서비스(유압·엔진·전기계통),건설현장 장비 고장 시 긴급 복구 필요. 지역 건설사와의 정기정비 계약으로 안정적 매출 확보 가능.,"중장비 엔진·유압·전기계통 점검·수리, 용접·차대수리, 현장 출동 정비 서비스 제공. 정기점검 패키지와 예비부품 공급 계약 체결.",True,922106,,,명확단일,건설·광업용 기계 및 장비 수리업
D0030,셀프 및 풀서비스 결합 코인세탁·수거배달 세탁소,맞벌이·1인 가구 증가로 무인세탁과 픽업·배달 세탁을 결합한 서비스 수요가 늘고 있음.,"동전식 셀프 빨래존과 전문 세탁(드라이클리닝 아님) 라인 운영, 앱으로 수거·배달 예약 및 정기 구독(주간·월간) 판매. 세제·섬유유연제 판매로 부가매출 창출.",True,930100,,,명확단일,가정용 세탁업
D0031,남성 전용 이발소(컷·면도·염색·헤어스타일링),트렌디한 바버 스타일과 빠른 서비스(예약·워킹인) 선호 증가. 남성 전용 전문 서비스로 충성고객 확보 가능.,"컷트·면도·수염정리·부분염색·헤어스타일링 서비스 제공, 멤버십(월간 예약권)과 학생·단체 할인, 제품(왁스·오일) 소매 판매로 수익화.",True,930201,,,명확단일,이용업(남성 이발 등)
D0032,"헤어 살롱(펌·염색·커트 전문, 프랜차이즈형 소규모 매장)",퍼스널 컬러·복합 시술 수요 증가로 전문 펌·염색 샵의 단골화가 용이. 시술 단가가 높아 매출성장 가능.,"펌·염색·컷·두피케어 등 서비스 제공, 제품(헤어케어) 소매, 예약제와 VIP 멤버십(정기염색 할인) 운영. 교육·스타일링 클래스로 부가수익 창출.",True,930203,,,명확단일,두발 미용업
D0033,비의료적 피부미용실(페이셜·제모·속눈썹·관리패키지),비용 효율적인 피부관리·제모·속눈썹 연장 등 미용서비스에 대한 수요가 꾸준. 정기관리 고객 확보 시 안정적 매출 가능.,"비의료적 페이셜, 클렌징·마스크·각질관리, 왁싱·제모, 속눈썹 연장·리프트, 홈케어 제품 판매와 정기관리 멤버십 판매. 예약 중심 운영의 소형 매장.",True,930205,,,명확단일,피부 미용업(비의료적 피부관리)
D0034,아크릴 기반 인조대리석 주방·욕실 상판 및 세면대 맞춤 제작,"소형 인테리어·리모델링 수요 증가로 맞춤형 무봉제 상판과 일체형 세면대, 소형 숙박업체·카페의 소량 주문을 받아 빠르게 대응할 수 있는 제조업체가 부족함.","천연광물 분말과 아크릴수지를 배합한 인조대리석 판재를 주조·절단·연마하여 맞춤형 주방 상판, 일체형 세면대, 창작 조형물 등을 제조해 B2B(인테리어 업체)와 B2C(직판·쇼룸)로 판매. 주문 제작, 설치 연계, 잔여조각 재활용으로 수익 창출.",True,269508,,,명확단일,인조대리석 제품 제조에 해당: 아크릴수지와 광물질 배합·성형·가공으로 상판·세면대 제조
D0035,의류용·산업용 부직포(필터·위생품) 소량 맞춤 생산,소규모 공방·중소 의료·미용업체는 특정 규격의 필터·패드·위생용 부직포를 소량으로 안정적으로 공급받기 어려움.,"멜트블로운·스팬본드 등 부직포 원단을 구매·가공해 마스크 보강층, 공기필터용 패드, 화장품용 탈지·팩 시트, 산업용 여과용 패널 등 고객 맞춤 규격의 부직포 및 펠트 제품을 제조해 OEM·도매·온라인 직판으로 판매.",False,172903,,,명확단일,부직포 및 펠트 제조에 해당: 섬유에 접착·침투·코팅 등으로 부직포 생산·가공
D0036,소형 전력변환용 건식 변압기(제어·충전용) 제조,전기차 충전기·태양광 인버터·산업용 제어반에 들어가는 맞춤형 소용량 변압기 납기가 길고 MOQ가 높아 개발·설치 기업의 불편이 큼.,"권선·코어 설계부터 절연·조립·성능시험을 거쳐 제어반용, 충전기용, 계측용의 소형 변압기를 주문제작·소량생산하여 전력전자 제조사 및 공작기계 업체에 납품. 엔지니어링 서비스(맞춤 설계)로 추가 수익 확보.",False,311003,,,명확단일,변압기 제조업에 해당: 권선·코어 조립 등으로 교류 전압 변환 장치 제조
D0037,LED 모듈·조명용 고출력 패키지(전광원) 제조,국내 소규모 조명 디자이너·수경재배 스타트업·스튜디오용으로 소량의 맞춤 LED 모듈(스펙·색온도 지정)이 필요하지만 공급처가 제한적임.,"반도체 소자 또는 LED 칩을 구입해 패키징, 기판 실장, 방열 설계, 테스트를 거쳐 고출력 LED 모듈·식물성장용 LED 램프·아트조명 모듈을 제조해 B2B·온라인 직판 및 OEM 공급.",False,321004,,,명확단일,발광다이오드(LED) 제조업에 해당: 반도체 소자를 이용한 LED 소자/모듈 제조
D0038,혼합 허브·꽃잎·곡물 기반 건조차(티) 블렌드 제조,"건강·웰니스 트렌드로 소포장 프리미엄 티(율무차, 유자말린 차, 꽃잎 블렌드) 수요는 높지만 지역 농산물을 활용한 가공·브랜딩 업체가 적음.","율무·볶은 곡물, 유자 건조·분말, 꽃잎·허브를 혼합·배합·건조·패키징해 스틱형·티백형 건조차 제품을 제조·브랜딩하여 온라인·샘플링·로컬 마켓으로 판매(음료 완제품(액상)은 제외).",False,154905,,,명확단일,차류 가공업: 곡물·유자·꽃잎 등으로 건조·혼합한 차(음료로 가공된 제품 제외) 제조
D0039,보로실리케이트 실험기구·소형 유리기판 제조,연구소·소규모 실험실에서 특수 규격의 내열·내화학성 유리 기구(플라스크·시약병·유리 튜브)를 신속하게 소량 주문할 수 있는 국내 공급이 드묾.,"유리 용융·성형·블로잉·절단·어닐링 공정을 통해 보로실리케이트 실험기구, 커스텀 유리 튜브, 광학용 소형 렌즈·유리 부품을 제조하여 학술기관·실험실·공방에 납품 및 온라인 주문 판매.",False,261006,,,명확단일,1차 유리제품 및 광학용 유리 제조: 유리 용융·성형을 통한 실험기구·광학용 유리 생산
D0040,전기자전거·스쿠터용 튜브 및 소형 재생 타이어 제조,전동 모빌리티 확산으로 소형 전기자전거·킥보드에 맞는 내구성 높은 튜브·특수 사이즈 타이어의 안정적 공급과 재생타이어 수요가 증가하고 있음.,"고무 컴파운드 배합, 성형·가황 공정으로 전기자전거·스쿠터용 튜브 및 소형 타이어를 제조하고 유통사·모빌리티 공유업체에 도매 공급. 재생고무 사용 라인으로 원가 경쟁력 확보.",False,251102,,,명확단일,고무 타이어 및 튜브 제조업: 차량(소형 이동수단 포함)용 타이어·튜브 제조
D0041,프리미엄 화장품·식품용 판지 상자(리테일 박스) 생산,중소 화장품·식품 브랜드는 소량의 고급 판지박스(특수코팅·형압·내부 칸막이 포함)를 합리적 가격으로 맞춤 제작하기 어려움.,"판지 원단을 절단·접합·코팅·형압하여 화장품 케이스, 선물용 리테일 박스, 내부 칸막이·삽입물을 포함한 판지 상자(골판지 제외)를 제조해 소규모 브랜드·디자인 스튜디오에 B2B 납품 및 온·오프라인 판매.",False,210201,,,명확단일,판지 상자 및 용기 제조업: 판지로 포장용·디스플레이용 박스 및 칸막이 제조
D0042,맞춤형 하이브리드 매트리스(포켓스프링+고밀도 폼) 생산,온라인 매트리스 브랜드의 성장으로 맞춤형 사이즈·경도 조절이 가능한 소규모 매트리스 제조업체에 대한 B2B 공급 수요가 늘고 있음.,"스프링 조립, 폼 커팅·적층, 봉제 커버 제작, 최종 조립을 통해 포켓스프링 결합형 매트리스 및 침대를 제조해 온라인 브랜드·호텔·리테일에 납품. 시연용 쇼룸 운영 및 설치·회수 서비스 제공.",True,361005,,,명확단일,매트리스 및 침대 제조업: 스프링·충전물 결합 매트리스와 침대를 제조
D0043,스테인리스 와이어 선반·바구니·케이블 타이 등 금속선 가공제품 제작,소매·식품·공장용으로 규격화된 와이어 선반과 바구니를 소량·맞춤 규격으로 제작해주는 공급처가 적음.,"구입한 철선·스테인리스선 절단·성형·용접·표면처리 과정을 통해 와이어 선반, 주방·창고용 바구니, 케이블 타이·홀더 등 금속선 기반 조립제품을 제조하여 유통업체·온라인 샵에 공급.",False,289901,,,명확단일,금속선 가공제품 제조업: 철선 등 금속선을 가공·조립해 와이어 제품 제조
D0044,건축·조경용 절단·성형 석재(타일·계단·외장재) 제조,리모델링·조경 시장에서 맞춤 규격의 천연 석재 벽돌·계단·외장 패널을 소량으로 빠르게 공급하는 지역 제조업체 수가 부족함.,"천연 석재 블록을 절단·연마·성형·천공해 건축용 외장패널, 조경용 석재 계단·보도블록, 기념비용 석제품 등을 제조하여 건설사·인테리어·조경업자에 납품 및 주문제작 판매.",False,269601,,,명확단일,건설용 석제품 제조업: 천연석 정밀 절단·성형으로 건설용 석제품 제조
D0048,노지에서 절화(국화·카네이션)를 재배해 플로리스트와 도매시장에 공급하는 절화농장,"계절별·행사용 절화의 신선도 중요, 수입에 의존하면 신선도·유통비 문제 발생. 지역 공급망 강화 필요.",노지에서 시기별 꽃 작형을 조절해 국화·카네이션을 재배하고 절화 포장·냉장유통을 통해 플로리스트·도매시장에 공급한다.,False,011002,,,명확단일,노지 화훼작물 재배 활동—화초·절화·관상수 등 재배업.
D0050,통제된 환경의 버섯(표고·느타리) 시설재배 및 소포장해 마트에 공급하는 양식장,"버섯은 기후에 민감해 연중 안정생산을 위한 시설 필요, 신선 포장 수요 증가.",균배지 준비·환경제어가 가능한 시설에서 표고·느타리를 재배하고 선별·소포장해 대형마트·온라인에 납품한다.,False,011009,,,명확단일,채소·화훼·과실 외의 작물을 시설에서 재배하는 활동(예: 버섯 등).
D0052,농가와 계약해 축산분뇨를 수집·퇴비화·처리해 유기질비료로 판매하는 분뇨처리 사업,"가축분뇨 처리·유통 규제가 강화되고, 농가들은 분뇨 처리·퇴비화 서비스를 필요로 함. 자원화 수요 증가.",축산농가와 계약을 맺고 분뇨를 수집·운반해 처리시설에서 퇴비화·살균 후 유기질비료로 제조·판매하거나 농장 환원 서비스를 제공한다.,False,900203,,,명확단일,축산 분뇨의 수집·운반·보관·처분(퇴비화·처리) 서비스를 제공하는 업종.
D0054,지역산 배추·무·당근을 대량으로 매입해 대형마트·식자재유통사에 공급하는 채소 도매업,소규모 생산자는 유통망 접근성이 낮아 도매상이 안정적 수요처를 제공하면 생산자가 유리. 대형 유통사는 안정적 대량공급을 원함.,지역 농가에서 대량으로 채소를 매입·선별·저장(저온)한 뒤 포장·트럭배송으로 대형마트·식자재 유통사에 도매 공급한다.,False,512212,,,명확단일,채소류·서류·향신작물 등의 도매 활동에 해당—채소류 도매업.
D0055,농장 직영 농산물 직판장(로컬푸드 매장)에서 계절 채소·과일을 소매 판매하는 소매점,소비자들은 지역산 신선농산물을 선호하고 유통단계를 줄인 직거래 매장을 찾음. 농가는 판로 다변화 필요.,"농장에서 수확한 제철 채소·과일을 직판장에 진열·소매 판매하고, 소분·포장 및 소매용 유통(매장·배달)을 운영한다.",True,522040,,,명확단일,"채소·과실·뿌리작물 등을 소매로 판매하는 활동—채소, 과실 및 뿌리작물 소매업."
D0057,프리랜서·1인 창업자용 클라우드 기반 간편 세금·청구서 SaaS,"프리랜서·소규모 사업자는 복잡한 회계 소프트웨어에 부담을 느끼고, 간단한 청구서 발행·수익/지출 관리·세금 신고 보조 기능을 저비용으로 원하는 수요가 큼.","웹 기반 응용 소프트웨어(구독형 SaaS)로 청구서 템플릿, 은행 연동 자동 분개, 간이세금 리포트 기능을 개발·운영하여 월 구독료 및 고급 기능 유료 업그레이드로 수익 창출.",False,722000,,722000,명확단일,특정 업무(청구·회계)를 자동화하는 응용 소프트웨어 개발·공급
D0058,모바일 수집형 캐주얼 게임을 개발하여 인앱결제와 광고로 수익화하는 게임 스튜디오,"짧은 플레이 세션과 가벼운 과금 모델을 선호하는 모바일 이용자가 많아, 소규모 팀이 개발한 튼튼한 캐주얼 게임으로 글로벌 유저를 확보하면 인앱 구매·광고 수익으로 수익화 가능.","iOS·Android용 모바일 게임 앱을 자체 개발하여 앱스토어에 유료 아이템(가상화폐, 스킨)과 광고를 통해 수익화. 게임 기획·아트·서버통합까지 자체 개발·배포.",False,722002,,722002,명확단일,모바일 플랫폼용 게임 소프트웨어를 개발·공급
D0059,중소기업용 윈도우 데스크톱 백업·보안 유틸리티 패키지 판매,"중소기업은 백업·암호화·파일 복구 기능을 통합한 저비용 오프라인 설치형 유틸리티 소프트웨어를 선호하며, 라이선스 기반으로 다수 배포 가능.","데스크톱(Windows)용 설치형 백업·암호화 유틸리티를 개발하여 웹사이트와 파트너 유통망을 통해 라이선스 판매(단일 라이선스 및 볼륨 라이선스), 정기 업데이트 유료 지원 제공.",False,722000,,722000,명확단일,데스크톱용 기능성 응용 소프트웨어 개발·판매
D0060,중견기업 대상 클라우드 ERP 구성 및 커스터마이징 소프트웨어 개발,"중견기업들은 표준 ERP로는 부족한 제조·재고 관리 프로세스가 있어, 클라우드 기반 ERP의 모듈 커스터마이징과 통합 서비스를 찾음.","자체 개발한 ERP 응용 소프트웨어(생산·재고·회계 모듈)를 클라우드로 공급하고, 고객별 커스터마이징과 연동 컨설팅을 유상으로 제공. 초기 라이선스+구축비+연간 유지보수 과금 모델.",False,722000,,722000,명확단일,기업용 업무처리 응용 소프트웨어 개발·공급 및 커스터마이징
D0061,블록체인 기반 디지털 아트(캐릭터) NFT 마켓플레이스 운영 플랫폼,"디지털 아티스트는 저작권 관리 및 2차 거래 수익 배분을 자동화할 마켓이 필요하고, 구매자는 안전한 거래·에스크로 기능을 원함.","사용자가 디지털 아트를 NFT로 발행(민팅)하고 매매할 수 있는 웹·스마트컨트랙트 기반 플랫폼을 개발·운영. 거래 수수료(매매 시 %) 및 민팅 수수료로 수익 창출. 지갑 연동, 보관 서비스 제공.",False,724002,,724002,명확단일,가상자산(디지털자산) 매매 및 중개 플랫폼 운영
D0062,지역 특화 채용·구인구직 포털(프리랜서 매칭 기능 포함),"특정 지역(예: 부산) 연고의 구직자·구인업체는 대형 포털의 전국 단위 서비스보다 지역 특화 일자리 정보를 원하며, 프리랜서 단기 채용 수요도 증가 중.","지역 기업과 구직자를 연결하는 웹·모바일 포털 서비스를 제공하고, 프리미엄 공고·배너광고·이력서 열람 유료 상품으로 수익화. 사용자 커뮤니티와 뉴스레터 운영으로 트래픽 확보.",False,642004,,642004,명확단일,인터넷 포털 형태의 정보 매개 및 커뮤니티 서비스
D0063,핸드메이드 공예품 C2C 전자상거래 플랫폼(판매자 수수료 기반),"개별 공예작가는 자체 쇼핑몰 구축 비용 부담이 크고, 온라인 노출이 어려워 중앙화된 마켓플레이스에서 저비용으로 판매하고 싶어함.",셀러(작가) 계정을 받아 상품 페이지를 제공하고 결제·배송 연동을 통해 일반 소비자 대상의 온라인 소매 거래를 중개. 판매가의 일정 비율을 수수료로 취득하며 프리미엄 노출 유료 옵션 제공.,False,525103,,525103,명확단일,SNS/플랫폼을 통한 일반 소비자 대상 전자상거래 중개
D0064,도심 상권의 오프라인 소프트웨어·PC 주변기기 소매점 (라이선스·패키지 판매),"고령층 소상공인과 일부 기업고객은 온라인 구매에 익숙치 않아 오프라인 매장에서 소프트웨어 패키지(안티바이러스, 오피스 등)와 주변기기 구입·설치를 원함.","오프라인 매장을 통해 범용 소프트웨어 패키지(오피스, 안티바이러스 등)와 주변기기(프린터, 외장하드)를 직접 판매하고 설치·설정 서비스를 추가 유료 제공. 매장 기반 소매 영업.",True,523531,,523531,명확단일,범용 소프트웨어 및 주변기기 소매업(오프라인 매장 포함)
D0065,중소 리셀러 대상 소프트웨어 라이선스 대량 도매 유통,소프트웨어 개발사와 최종 판매처(중소 리셀러) 사이에 라이선스 대량 구매·할인 판매를 전문으로 하는 유통 채널 수요가 있음.,해외·국내 소프트웨어 개발사로부터 정식 라이선스(볼륨 라이선스)를 도매로 매입하여 지역 리셀러·기업에 대량 납품. 인보이스·계약 기반 B2B 판매로 수익 확보.,False,515050,,515050,명확단일,소프트웨어 및 관련 장비를 도매로 유통하는 활동
D0066,서버 운영·네트워크용 시스템 소프트웨어(미들웨어/관리툴) 개발 회사,호스팅·클라우드 사업자는 서버 모니터링·자동화·컨테이너 오케스트레이션을 통합한 경량 시스템 소프트웨어(미들웨어)를 원함. 상용화 가능성 높음.,"서버·네트워크 환경에서 동작하는 시스템 소프트웨어(에이전트, 미들웨어, 서버관리 데몬)를 개발하여 라이브러리·설치 패키지 형태로 기업 고객에 공급하고, 설치·지원 계약으로 수익화.",False,722004,,722004,명확단일,하드웨어/서버에서 동작하는 시스템 소프트웨어 개발·공급
