"id","seed","problem","solution","expected_primary","expected_alt","expected_secondary","note"
"G25","계절 꽃과 화분을 매입해 꽃다발과 화분 상품으로 구성해 매장과 주문 배송으로 판매한다","경조사와 기념일에 믿고 맡길 동네 꽃집이 부족하고 당일 배송 수요가 크다","도매 시장에서 절화와 분화를 매입해 매장에서 꽃다발 꽃바구니로 만들어 판매하고 주문 배송한다","523987","523988","","화초 식물 소매"
"G26","매장에서 닭을 튀겨 포장과 배달 위주로 판매하는 치킨 전문점을 운영한다","배달 앱 경쟁이 치열하지만 동네에서 맛으로 자리 잡은 치킨집 수요는 꾸준하다","주방에서 염지한 닭을 튀겨 소스와 함께 포장하고 배달 대행과 홀 판매로 매출을 낸다","552107","","","치킨 전문점"
"G27","즉석에서 김밥과 떡볶이 라면 등 분식을 조리해 매장과 포장으로 판매한다","혼밥과 간편식 수요가 늘며 저렴하고 빠르게 먹을 수 있는 분식집이 꾸준히 필요하다","주방에서 김밥을 말고 분식 메뉴를 조리해 매장 식사와 포장 판매로 회전율을 높여 수익을 낸다","552108","552119","","간이 음식점"
"G28","생맥주와 간단한 안주를 파는 호프집을 저녁 시간대에 운영한다","퇴근 후 부담 없이 맥주 한잔 하기 좋은 동네 호프집 수요가 꾸준히 있다","매장에서 생맥주를 따르고 튀김과 마른안주를 조리해 판매하며 저녁부터 심야까지 영업한다","552205","","","생맥주 전문점"
"G29","돌잔치와 기업 행사장에 요리와 인력을 보내 뷔페식으로 음식을 제공한다","행사 규모에 맞춰 음식을 준비하고 세팅까지 맡기고 싶은 수요가 많다","주방에서 대량 조리한 음식을 행사장으로 운반해 뷔페로 세팅하고 서빙 인력까지 제공하며 건별로 수익을 낸다","552105","","","출장 음식 서비스"
"G30","아파트와 상가의 벽지와 바닥재를 시공하는 도배 장판 공사를 한다","이사 철에 도배와 장판을 빠르고 깔끔하게 해줄 시공팀 수요가 꾸준히 있다","현장 실측 후 벽지와 장판을 준비해 기존 마감을 철거하고 새로 시공하며 공사비를 받는다","452105","452106;452107","","도배 장판 시공"
"G31","주택과 상가의 전등 콘센트 배선 등 실내 전기 공사를 시공한다","노후 배선 교체와 인테리어에 맞춘 전기 공사를 안전하게 맡길 업체 수요가 꾸준하다","현장 점검 후 배선 도면을 잡고 배관 배선 기구 설치와 검사를 진행하며 공사비를 받는다","452125","452126","","전기 공사업(452126 내부 전기배선 공사업도 허용)"
"G32","단독주택 마당과 상가 외부에 나무와 잔디를 심고 정원을 조성한다","조경을 제대로 설계하고 식재해 관리까지 맡길 수 있는 업체 수요가 늘고 있다","현장 조사 후 식재 계획을 세워 수목과 잔디를 심고 포장과 시설물을 설치하며 조경 공사비를 받는다","451400","749303","","조경 건설"
"G33","자체 지식재산으로 캐주얼 모바일 게임을 개발해 앱스토어에 출시하고 운영한다","경쟁이 치열하지만 짧게 즐기는 캐주얼 게임 수요는 꾸준하고 인앱 결제 수익 모델이 명확하다","기획 아트 프로그래밍을 자체 팀이 맡아 게임을 개발하고 앱 마켓에 배포해 광고와 인앱 결제로 수익을 낸다","722002","722000","","모바일 게임 개발"
"G34","기업 요구에 맞춰 웹사이트와 사내 시스템을 설계하고 구축해 납품한다","중견기업이 흩어진 업무 시스템을 통합하고 싶지만 내부 개발 인력이 부족하다","요구 분석 후 아키텍처를 설계하고 개발 테스트 배포까지 수행해 시스템을 구축하고 구축비와 유지보수비를 받는다","721000","722000","","시스템 통합 구축"
"G35","자체 채널에 올릴 예능형 영상 콘텐츠를 기획하고 촬영 편집해 제작한다","브랜드와 채널이 꾸준한 영상 콘텐츠를 원하지만 기획부터 편집까지 맡길 곳이 부족하다","기획 촬영 편집 후반작업을 자체 인력이 맡아 영상물을 제작하고 광고 수익과 제작 의뢰비로 수익을 낸다","921505","921502;921503","","자체채널 콘텐츠 창작(미디어콘텐츠창작업)"
"G36","성인과 학생을 대상으로 영어 회화를 소규모 반으로 가르치는 학원을 운영한다","시험 위주 학원은 많지만 실제 말하기 중심으로 배우고 싶은 수요가 꾸준하다","원어민과 한국인 강사가 회화 중심 커리큘럼으로 대면 수업을 진행하고 월 수강료를 받는다","809017","809007","","외국어학원"
"G37","어린이와 청소년에게 태권도를 가르치고 승급 심사를 지도하는 도장을 운영한다","체육 활동과 인성 교육을 겸한 태권도장 수요가 꾸준하고 셔틀 운영으로 접근성을 높일 수 있다","관장과 사범이 연령별 반을 편성해 대면 지도하고 승급 심사와 시범단을 운영하며 월 관비를 받는다","809014","","","태권도 교육기관"
"G38","소상공인과 중소기업의 장부 기장과 세무 신고를 대행하는 세무 사무소를 운영한다","자영업자는 부가세와 종합소득세 신고가 복잡해 전문가에게 맡기고 싶어한다","세무사와 직원이 거래 자료를 받아 기장하고 부가세 원천세 종합소득세를 신고하며 월 기장료와 신고 수수료를 받는다","741201","741203","","세무 대행"
"G39","브랜드의 광고 캠페인을 기획하고 매체 집행과 콘텐츠 제작을 대행한다","광고주는 전략 수립부터 매체 집행까지 통합으로 맡길 대행사를 찾는다","브리프를 받아 캠페인 전략과 크리에이티브를 기획하고 온오프라인 매체 집행과 성과 리포트를 제공하며 대행 수수료를 받는다","743002","743003","","광고 대행"
"G40","아파트와 상가 매물을 중개하고 임대차와 매매 계약을 대리하는 공인중개사무소를 운영한다","직거래는 분쟁 위험이 크고 시세와 권리관계를 확인해 안전하게 계약하고 싶은 수요가 크다","매물을 접수해 시세와 권리를 확인하고 매수인 임차인을 연결해 계약을 중개하며 중개보수를 받는다","702001","","","부동산 중개"
"G41","러닝머신과 웨이트 기구를 갖춘 헬스장을 운영하며 개인 운동 지도도 제공한다","건강 관심이 높아지며 접근성 좋은 동네 헬스장과 개인 지도 수요가 꾸준하다","시설 이용권을 판매하고 트레이너가 개인 운동을 지도하며 월 회원권과 개인 지도료로 수익을 낸다","924305","","","체력 단련시설 운영"
"G42","자동차 엔진 미션 하체 등 고장 부위를 진단하고 부품을 교체해 수리하는 정비소를 운영한다","차량 노후화로 정비 수요는 꾸준하지만 정직하게 진단하고 수리하는 업체를 찾기 어렵다","입고 차량을 진단해 고객에게 견적을 설명하고 부품을 교체하거나 정비해 출고하며 공임과 부품비를 받는다","922201","922202","","자동차 수리"
"M01","직접 생두를 수입해 로스팅한 원두를 도매로 공급하고 같은 원두로 직영 카페도 한 곳 운영한다","좋은 원두를 신선하게 받기 어렵고 그 원두로 커피를 마실 공간도 부족하다는 불편이 함께 있다","자체 로스팅 시설에서 볶은 원두를 카페와 개인에게 도매로 납품하고 직영 매장에서는 바리스타가 그 원두로 음료를 만들어 현장 판매한다","154901","552303","552303","복수: 원두 가공 + 카페 운영"
"M02","농장에서 직접 딸기를 재배해 생과로 팔고 못난이 딸기로는 잼과 청을 만들어 병입 판매한다","제철이 지나면 딸기 판매가 끊기고 상품성 낮은 딸기를 버리게 되는 손실이 크다","비닐하우스에서 딸기를 재배해 수확 즉시 생과로 출하하고 상품성이 낮은 딸기는 자체 가공실에서 잼과 청으로 만들어 병에 담아 판매한다","011004","151304","151302;151304","복수: 딸기 재배 + 딸기 가공식품 제조"
"M03","원목으로 가구를 직접 제작해 판매하고 같은 공방에서 일반인 대상 목공 수업도 운영한다","대량생산 가구에 질린 소비자와 직접 만들어보고 싶은 취미 수요가 함께 늘고 있다","공방에서 원목을 재단하고 조립해 만든 테이블 의자 수납장을 주문 제작 판매하고 저녁과 주말에는 수강생에게 목공 기술을 가르치고 수강료를 받는다","361002","361003","809002","복수: 원목 가구 제조 + 목공 교습"
