id,category,mvp_group,seed,problem_or_opportunity,solution_approach,is_offline_store,llm_expected_primary,llm_expected_primary_name,llm_expected_secondary,llm_expected_note,llm_why,auto_check,search_rank_of_expected,사람_확정_primary,사람_확정_secondary,사람_확정_note,사람_검수완료
D0011,명확단일,카페·음식점,생수·탄산수 등 비알코올 음료 전문 도매 유통(대형마트·편의점 납품),편의점·마트에 다양한 생수·탄산수 브랜드를 안정적으로 공급하는 물류 유통사가 필요함.,"수입·국내 생수, 탄산수 등 비알코올 음료를 대량 구매해 창고에서 보관·분류 후 소매채널(마트·편의점)에 도매 납품.",False,512260,비알코올 음료 도매업,,비알코올 음료를 도매로 공급·유통하는 활동에 해당.,주로 생수·탄산수 등의 비알코올 음료를 도매로 취급하는 사업 형태이므로 '비알코올 음료 도매업(512260)'로 적합함.,OK,1,,,,
D0012,명확단일,소매(오프라인·온라인),소형·저전력 미니 냉장고 전문 소매점(원룸용·캠핑용),원룸 거주자·캠퍼·학생들은 크기가 작고 전력 효율 높은 미니 냉장고를 원하지만 대형 가전 매장에서는 선택지가 적고 배송·설치 비용이 높음.,국내외 소형 냉장고(40~120L) 모델을 도매로 수급해 매장과 온라인 몰에서 소매한다. 제품별 전력효율·소음 데이터를 비교해 전시·판매하고 배송·설치·A/S 패키지를 유료로 제공(직접 제조하지 않고 신품 가전 소매).,True,523390,가전제품 소매업,,가정용 소형 전기기기(냉장고) 전문 소매,가전제품(냉장고)은 가정용 전기기기에 해당하므로 가전제품 소매업 코드(523390)가 적합.,OK,5,,,,
D0013,명확단일,소매(오프라인·온라인),원룸·소형주택용 모듈형 가구 전문 소매점,1인 가구와 소형주택이 증가하면서 공간 효율 높은 조립식·모듈 가구 수요가 급증하지만 대형 가구점 제품은 부피가 크고 배송비 부담이 큼.,"제작은 전문 가구 공장에 위탁(혹은 주문제작 협력)하고, 완제품 및 반조립 모듈 가구(침대·수납장·책상 등)를 매장에서 전시·판매하며 배송·설치 서비스 포함해 소매한다(직접 대량 제조하지 않고 가구를 매입해 소매).",True,523331,가구 소매업,,가구(목재 가구 등) 전문 소매,목재·주방용 가구 등 각종 가구를 전문적으로 소매하는 활동으로 가구 소매업 코드(523331)가 일치한다.,OK,4,,,,
D0014,명확단일,소매(오프라인·온라인),프랜차이즈 제과품(빵·케이크·떡) 입점형 소매점,"동네 상권에 신선한 빵·과자류를 공급하는 소매점이 적고, 직장인·가구 대상 아침·간식 수요가 꾸준함.","본인이 직접 제빵을 하지 않고, 제빵 공장·체인 공급망에서 제품을 정기 구매해 매장(3,000㎡ 미만)에서 소매로 판매한다. 매장 내 포장·온음식 판매만 수행하며 제조 시설은 별도로 두지 않음(직접 제조 아님).",True,522061,"빵류, 과자류 및 당류 소매업",,제과류(빵·과자·떡류 등)를 공급받아 소매,직접 제조하지 않고 제과류를 공급받아 소매하는 업태로 빵류·과자류 소매업 코드(522061)가 적합하다.,OK,1,,,,
D0015,명확단일,소매(오프라인·온라인),디자이너 문구·수제 스케치북 전문 소매점,디자이너·일러스트레이터·취미그림 수요자가 독특한 수제 스케치북·고급 펜·수성·유성 마커 등 특화 문구를 찾기 어려움.,"해외·국내 수제 스케치북, 아티스트용 잉크·펜, 고급 수채·유화용 도구 등 문구용품을 도매로 매입해 오프라인 매장과 온라인으로 소매한다(제조가 아닌 소매 판매).",True,523983,문구용품 및 회화용품 소매업,,문구·회화용품 전문 소매,문구류 및 회화용품을 전문적으로 소매하므로 문구용품 및 회화용품 소매업 코드(523983)가 적절하다.,OK,1,,,,
D0016,명확단일,소매(오프라인·온라인),국산·수입 경차용 엔진 및 전용 신품 부품 전문 소매점,동네 정비소와 개인 경차 오너들은 OEM 규격의 엔진 부품·타이밍 벨트·연료분사부품을 신속히 구하기 어려움.,"자동차 제조사 인증 신품 엔진 부품(엔진헤드 가스켓, 피스톤, 캠샤프트 등)과 동력전달 관련 신품 부품을 공식 도매처에서 수급해 매장 및 온라인으로 소매한다(신품 부품 전문 소매).",True,503009,자동차용 전용 신품 부품 판매업,,자동차용 엔진·동력 전달 등 전용 신품 부품 소매,자동차 엔진·차체·동력 전달 장치 등 전용 신품 부품을 판매하므로 해당 코드(503009)가 맞다.,OK,3,,,,
D0017,명확단일,소매(오프라인·온라인),OTC 의약품·가정용 의료용품 전문 편의 약국(처방전 취급 제외 사업모델),"동네에서 상비약·체온계·상처용 의료용품을 쉽게 구매하려는 소비자가 많고, 편의점형으로 접근성 높은 매장이 필요함.","의약외품·일반의약품(OTC)과 가정용 의료용품(체온계, 혈압계, 소독제 등)을 도매로 매입해 소매한다. 전문 의약품 처방 조제는 하지 않고, 상비약 소매에 집중한다(제조 아님).",True,523114,의약품 및 의료용품 소매업,,의약품 및 의료용품 소매(OTC·의약외품 중심),일반의약품과 가정용 의료용품을 소매하는 활동으로 의약품 및 의료용품 소매업 코드(523114)가 적합하다.,OK,2,,,,
D0018,명확단일,소매(오프라인·온라인),원데이 콘택트렌즈·가정용 시력측정 보조기기 전문 소매점,온라인 구매의 불편함과 즉시 착용·체험 필요 때문에 소비자들이 근처 매장에서 원데이 렌즈와 간단한 시력측정 보조기기를 구매하길 원함.,"일회용 콘택트렌즈, 렌즈용 세정제, 간이 시력측정기(가정용·휴대용) 등 광학용품과 렌즈 관련 액세서리를 도매로 매입해 소매 및 매장 내 간단한 착용·설명 서비스를 제공한다(정밀 검사·처방은 전문병원별도).",True,523552,기타 광학 및 정밀 기기 소매업,,광학용품(콘택트·간이측정기 등) 및 정밀기기 소매,콘택트렌즈·광학용품·간단한 정밀기기 중심 소매로 광학 및 정밀기기 소매업 코드(523552)가 적절하다.,OK,12,,,,
D0019,명확단일,소매(오프라인·온라인),가죽자켓·가죽소품 전문 리테일(완제품 구입 후 판매),"고품질 가죽 의류와 소품(가죽 재킷, 가죽가방, 장갑)을 찾는 소비자는 전문 매장에서 브랜드와 품질을 직접 비교하고 구매하길 원함.","국내외 가죽 및 모피 의복 완제품(재킷, 코트, 가죽 팬츠)과 가죽 액세서리를 도매로 구매해 매장에서 소매 판매한다(자체 봉제·제작은 하지 않고 기성품 소매).",True,523236,가죽 및 모피 의복 소매업,,가죽·모피 의복 및 관련 완제품 소매,가죽 및 모피 소재의 의복을 전문적으로 소매하는 사업으로 해당 코드(523236)가 일치한다.,OK,19,,,,
D0020,명확단일,소매(오프라인·온라인),프리미엄 도자기·주방칼·글라스웨어 전문 소매점(레스토랑·홈셰프 대상),전문 주방도구와 도자기·유리 제품은 품질과 디자인 차이가 커서 요식업체·홈셰프가 직접 보고 구매하길 원함.,"일본·유럽 수입 도자기, 전문 셰프용 주방칼, 내열 유리제품 등을 도매로 수입·구입하여 오프라인 전시·소매 및 기업 납품 소량 공급을 한다(제조 아님).",True,523422,"주방용품 및 가정용 유리, 요업제품 소매업",,주방용품·가정용 유리·요업제품 전문 소매,도자기·주방도구·유리제품을 전문적으로 소매하는 활동으로 주방용품 및 가정용 유리·요업제품 소매업 코드(523422)가 적절하다.,OK,2,,,,
D0021,명확단일,소매(오프라인·온라인),소형 차량·손수레 순회로 생필품·간식 판매하는 이동 소매(아파트 단지 순회),고령층과 바쁜 맞벌이 가구 일부는 가까운 시간대에 간단한 생필품·간식을 구입할 수 있는 이동 판매 서비스를 원함.,"경량 트럭 또는 손수레 형태의 이동 판매차량을 이용해 아파트 단지·상가를 순회하며 음료, 스낵, 생활용품(화장지·세제 소포장) 등을 현장 소매한다. 고정 매장 없이 이동·무점포 소매로 운영(재고는 차량 보관).",False,525912,그 외 기타 무점포 소매업,,차량·이동체를 이용한 무점포(이동) 소매,차량 등을 이용해 구역을 이동하면서 상품을 판매하는 무점포 소매업으로 525912(그 외 기타 무점포 소매업)가 해당된다.,검색34위,34,,,,
D0022,명확단일,소매(오프라인·온라인),전문 공구·전동공구 소매점(전문 목수·소규모 건설업체 대상),소규모 건설업체와 전문 목수들은 고성능 전동공구와 보수 부품을 바로 구매하고 싶은 수요가 많음.,"전동드릴, 임팩트 드라이버, 절단공구, 조절형 렌치 등 비동력·동력 공구 및 소모품(날·배터리)을 도매로 매입해 소매하고, 간단한 수리·배터리 충전 서비스를 병행한다(도구 직접 제조 없이 소매).",True,524001,공구 소매업,,수공구 및 동력공구(전동공구) 전문 소매,비동력 수공구와 전동공구를 전문적으로 소매하는 활동으로 공구 소매업 코드(524001)가 적합.,OK,2,,,,
D0023,명확단일,생활서비스(미용·수리·세탁 등),노트북·데스크탑 및 주변기기 수리점(진단·부품교체·출장수리),홈오피스 확대로 노트북·데스크탑 고장·데이터 손상 발생 증가. 개인과 소규모 기업 대상 신속 진단과 출장수리가 부족하다.,"매장형 수리·진단 워크숍을 열고 SSD/메모리 교체, 데이터 복구, 바이러스 제거, 프린터·모니터 등 주변기기 수리와 기업용 정기 유지보수 계약(월정액)을 판매. 출장 방문 수리와 원격지원 요금제를 병행.",True,725000,컴퓨터 및 주변 기기 수리업,,컴퓨터 및 주변 기기 수리업,노트북·데스크탑·프린터·모니터 등 컴퓨터와 주변기기를 전문 수리·유지하는 활동으로 725000이 적합함.,OK,1,,,,
D0024,명확단일,생활서비스(미용·수리·세탁 등),가전제품 방문수리 서비스(냉장고·세탁기·에어컨 고장수리),"대형 가전 고장 시 고객이 매장 이동이 어렵고, 신속한 방문수리 수요가 높다. 온라인 예약으로 당일 방문 서비스를 제공하면 경쟁력 있음.","기사 기반의 출장수리 서비스 운영: 콜출동·진단비, 부품교체, 계절별 점검 패키지 판매(에어컨 여름점검 등), 법인 아파트 관리사무소와 정기점검 계약을 체결하여 안정적 매출 확보.",False,922104,가전제품 수리업,,가전제품 수리업,가정용 전기제품(냉장고·세탁기·에어컨 등)을 전문적으로 수리·유지하는 활동으로 922104에 해당함.,OK,1,,,,
D0025,명확단일,생활서비스(미용·수리·세탁 등),가죽가방·신발 수선·리폼 전문점(지퍼교체·가죽염색·굽교체),고가 가죽 가방·수제화 보유자가 재수선·리폼으로 제품 수명 연장을 원함. 적정 가격대의 정밀 수선 수요가 꾸준함.,"오프라인 수선점에서 가죽염색, 지퍼·스트랩 교체, 굽·창 수선, 방수·보호코팅 서비스를 제공. 고급 가방 복원 및 브랜드 수선 위탁 서비스로 수익 다각화.",True,922108,"가죽, 가방 및 신발 수리업",,"가죽, 가방 및 신발 수리업","가죽 제품, 가방, 신발의 전문 수선·복원 활동이므로 922108이 적절함.",OK,1,,,,
D0026,명확단일,생활서비스(미용·수리·세탁 등),시계·귀금속·악기 수리·리페어 숍(시계오버홀·반지사이즈·바이올린 셋업),고급 시계·악기·귀금속은 전문 수리가 필요하며 지역 내 전문점 부족. 정기 점검과 커스터마이징 수요 존재.,"시계 오버홀, 배터리·밴드 교체, 귀금속 리사이징·용접·세척, 현악기 셋업 및 튜닝 서비스를 매장형으로 제공. 고가 수리·감정 서비스로 추가 수익.",True,922109,"시계, 귀금속 및 악기 수리업",,"시계, 귀금속 및 악기 수리업",시계·귀금속·악기 등의 전문 수리·유지 활동을 포함하므로 922109가 적합함.,OK,1,,,,
D0027,명확단일,생활서비스(미용·수리·세탁 등),가구·정원용 장비 수리 및 복원 공방(목재가구 수선·예초기·전동공구 점검),"맞춤 가구 수선과 오래된 가구 복원 수요가 있으며, 정원용 전동공구(예초기·전정기) 수리도 필요함.","목재가구 접합·도장·재가공, 소파·리클라이너 간단 수리, 정원용 장비(톱, 예초기) 점검·날갈이·정비 서비스를 제공. 수거·배달·현장 방문 수선 옵션 병행.",True,922101,그 외 기타 개인 및 가정용품 수리업,,그 외 기타 개인 및 가정용품 수리업(가구·정원용 장비 등),가정용 철물·수공구·정원장비·가구 등 기타 가정용품 수리를 포함하는 922101에 해당함.,OK,7,,,,
D0028,명확단일,생활서비스(미용·수리·세탁 등),드론 및 정밀전자기기 수리·교정 워크숍(짐벌·센서·비행제어 보드 수리),드론 촬영 수요 증가로 센서·짐벌·비행제어기 관련 고장·교정 서비스 수요 확대. 정밀 조정과 펌웨어 복구가 필요함.,"정밀 납땜, 센서 교체, 모터·짐벌 정밀조정, 펌웨어 복원 및 캘리브레이션 서비스를 제공. 드론 기업·촬영 스튜디오 대상 유지보수 계약과 교육 워크숍 병행.",True,922103,전기ㆍ전자 및 정밀 기기 수리업,,전기·전자 및 정밀 기기 수리업,드론의 전자·정밀 부품을 수리·교정하는 활동은 전기·전자 및 정밀기기 수리에 해당하여 922103을 적용함.,OK,1,,,,
D0029,명확단일,생활서비스(미용·수리·세탁 등),굴삭기·덤프·콘크리트펌프 등 건설장비 수리·정비 서비스(유압·엔진·전기계통),건설현장 장비 고장 시 긴급 복구 필요. 지역 건설사와의 정기정비 계약으로 안정적 매출 확보 가능.,"중장비 엔진·유압·전기계통 점검·수리, 용접·차대수리, 현장 출동 정비 서비스 제공. 정기점검 패키지와 예비부품 공급 계약 체결.",True,922106,건설ㆍ광업용 기계 및 장비 수리업,,건설·광업용 기계 및 장비 수리업,굴삭기 등 건설·광업용 기계의 전문 수리·유지 활동에 해당하므로 922106이 적절함.,OK,1,,,,
D0030,명확단일,생활서비스(미용·수리·세탁 등),셀프 및 풀서비스 결합 코인세탁·수거배달 세탁소,맞벌이·1인 가구 증가로 무인세탁과 픽업·배달 세탁을 결합한 서비스 수요가 늘고 있음.,"동전식 셀프 빨래존과 전문 세탁(드라이클리닝 아님) 라인 운영, 앱으로 수거·배달 예약 및 정기 구독(주간·월간) 판매. 세제·섬유유연제 판매로 부가매출 창출.",True,930100,가정용 세탁업,,가정용 세탁업,일반 대중을 대상으로 세탁물을 수집·세탁하는 서비스로 930100(가정용 세탁업)에 해당함.,OK,1,,,,
D0031,명확단일,생활서비스(미용·수리·세탁 등),남성 전용 이발소(컷·면도·염색·헤어스타일링),트렌디한 바버 스타일과 빠른 서비스(예약·워킹인) 선호 증가. 남성 전용 전문 서비스로 충성고객 확보 가능.,"컷트·면도·수염정리·부분염색·헤어스타일링 서비스 제공, 멤버십(월간 예약권)과 학생·단체 할인, 제품(왁스·오일) 소매 판매로 수익화.",True,930201,이용업,,이용업(남성 이발 등),남성 고객의 머리카락·수염을 정리·다듬는 전형적 이용업 활동으로 930201에 해당함.,OK,4,,,,
D0032,명확단일,생활서비스(미용·수리·세탁 등),"헤어 살롱(펌·염색·커트 전문, 프랜차이즈형 소규모 매장)",퍼스널 컬러·복합 시술 수요 증가로 전문 펌·염색 샵의 단골화가 용이. 시술 단가가 높아 매출성장 가능.,"펌·염색·컷·두피케어 등 서비스 제공, 제품(헤어케어) 소매, 예약제와 VIP 멤버십(정기염색 할인) 운영. 교육·스타일링 클래스로 부가수익 창출.",True,930203,두발 미용업,,두발 미용업,파마·염색·컷 등 고객의 머리를 아름답게 꾸미는 활동으로 930203(두발 미용업)에 해당함.,OK,5,,,,
D0033,명확단일,생활서비스(미용·수리·세탁 등),비의료적 피부미용실(페이셜·제모·속눈썹·관리패키지),비용 효율적인 피부관리·제모·속눈썹 연장 등 미용서비스에 대한 수요가 꾸준. 정기관리 고객 확보 시 안정적 매출 가능.,"비의료적 페이셜, 클렌징·마스크·각질관리, 왁싱·제모, 속눈썹 연장·리프트, 홈케어 제품 판매와 정기관리 멤버십 판매. 예약 중심 운영의 소형 매장.",True,930205,피부 미용업,,피부 미용업(비의료적 피부관리),기구·손을 이용한 피부관리·제모 등 비의료적 미용 서비스는 930205 피부 미용업에 해당함.,OK,1,,,,
D0034,명확단일,제조·가공,아크릴 기반 인조대리석 주방·욕실 상판 및 세면대 맞춤 제작,"소형 인테리어·리모델링 수요 증가로 맞춤형 무봉제 상판과 일체형 세면대, 소형 숙박업체·카페의 소량 주문을 받아 빠르게 대응할 수 있는 제조업체가 부족함.","천연광물 분말과 아크릴수지를 배합한 인조대리석 판재를 주조·절단·연마하여 맞춤형 주방 상판, 일체형 세면대, 창작 조형물 등을 제조해 B2B(인테리어 업체)와 B2C(직판·쇼룸)로 판매. 주문 제작, 설치 연계, 잔여조각 재활용으로 수익 창출.",True,269508,인조대리석 제품 제조업,,인조대리석 제품 제조에 해당: 아크릴수지와 광물질 배합·성형·가공으로 상판·세면대 제조,사업 내용이 인조대리석(아크릴·폴리에스테르 계열) 제품을 직접 배합·성형·가공해 상판·세면대를 제조·판매하는 활동으로 269508(인조대리석 제품 제조업)에 부합함.,OK,2,,,,
D0035,명확단일,제조·가공,의류용·산업용 부직포(필터·위생품) 소량 맞춤 생산,소규모 공방·중소 의료·미용업체는 특정 규격의 필터·패드·위생용 부직포를 소량으로 안정적으로 공급받기 어려움.,"멜트블로운·스팬본드 등 부직포 원단을 구매·가공해 마스크 보강층, 공기필터용 패드, 화장품용 탈지·팩 시트, 산업용 여과용 패널 등 고객 맞춤 규격의 부직포 및 펠트 제품을 제조해 OEM·도매·온라인 직판으로 판매.",False,172903,부직포 및 펠트 제조업,,부직포 및 펠트 제조에 해당: 섬유에 접착·침투·코팅 등으로 부직포 생산·가공,멜트블로운/스팬본드 등 부직포 제작과 이를 이용한 필터·시트 제품 제조 활동은 172903(부직포 및 펠트 제조업) 범주에 해당함.,OK,1,,,,
D0036,명확단일,제조·가공,소형 전력변환용 건식 변압기(제어·충전용) 제조,전기차 충전기·태양광 인버터·산업용 제어반에 들어가는 맞춤형 소용량 변압기 납기가 길고 MOQ가 높아 개발·설치 기업의 불편이 큼.,"권선·코어 설계부터 절연·조립·성능시험을 거쳐 제어반용, 충전기용, 계측용의 소형 변압기를 주문제작·소량생산하여 전력전자 제조사 및 공작기계 업체에 납품. 엔지니어링 서비스(맞춤 설계)로 추가 수익 확보.",False,311003,변압기 제조업,,변압기 제조업에 해당: 권선·코어 조립 등으로 교류 전압 변환 장치 제조,설계·권선·조립·시험을 통해 전압 변환 장치(변압기)를 제조·판매하는 활동으로 311003(변압기 제조업)에 직접 해당함.,OK,2,,,,
D0037,명확단일,제조·가공,LED 모듈·조명용 고출력 패키지(전광원) 제조,국내 소규모 조명 디자이너·수경재배 스타트업·스튜디오용으로 소량의 맞춤 LED 모듈(스펙·색온도 지정)이 필요하지만 공급처가 제한적임.,"반도체 소자 또는 LED 칩을 구입해 패키징, 기판 실장, 방열 설계, 테스트를 거쳐 고출력 LED 모듈·식물성장용 LED 램프·아트조명 모듈을 제조해 B2B·온라인 직판 및 OEM 공급.",False,321004,발광 다이오드 제조업,,발광다이오드(LED) 제조업에 해당: 반도체 소자를 이용한 LED 소자/모듈 제조,LED 칩을 실장·패키징해 광원 모듈을 제조·판매하는 활동은 321004(발광 다이오드 제조업)과 일치함.,OK,7,,,,
D0038,명확단일,제조·가공,혼합 허브·꽃잎·곡물 기반 건조차(티) 블렌드 제조,"건강·웰니스 트렌드로 소포장 프리미엄 티(율무차, 유자말린 차, 꽃잎 블렌드) 수요는 높지만 지역 농산물을 활용한 가공·브랜딩 업체가 적음.","율무·볶은 곡물, 유자 건조·분말, 꽃잎·허브를 혼합·배합·건조·패키징해 스틱형·티백형 건조차 제품을 제조·브랜딩하여 온라인·샘플링·로컬 마켓으로 판매(음료 완제품(액상)은 제외).",False,154905,차류 가공업,,차류 가공업: 곡물·유자·꽃잎 등으로 건조·혼합한 차(음료로 가공된 제품 제외) 제조,건조된 차(티) 원료를 가공·블렌딩·포장해 판매하는 활동은 154905(차류 가공업)에 해당함.,OK,16,,,,
D0039,명확단일,제조·가공,보로실리케이트 실험기구·소형 유리기판 제조,연구소·소규모 실험실에서 특수 규격의 내열·내화학성 유리 기구(플라스크·시약병·유리 튜브)를 신속하게 소량 주문할 수 있는 국내 공급이 드묾.,"유리 용융·성형·블로잉·절단·어닐링 공정을 통해 보로실리케이트 실험기구, 커스텀 유리 튜브, 광학용 소형 렌즈·유리 부품을 제조하여 학술기관·실험실·공방에 납품 및 온라인 주문 판매.",False,261006,"1차 유리제품, 유리섬유 및 광학용 유리 제조업",,1차 유리제품 및 광학용 유리 제조: 유리 용융·성형을 통한 실험기구·광학용 유리 생산,"원료 유리를 가열·성형해 실험용·광학용 유리제품을 제조하는 활동이 261006(1차 유리제품, 유리섬유 및 광학용 유리 제조업)에 해당함.",OK,5,,,,
D0040,명확단일,제조·가공,전기자전거·스쿠터용 튜브 및 소형 재생 타이어 제조,전동 모빌리티 확산으로 소형 전기자전거·킥보드에 맞는 내구성 높은 튜브·특수 사이즈 타이어의 안정적 공급과 재생타이어 수요가 증가하고 있음.,"고무 컴파운드 배합, 성형·가황 공정으로 전기자전거·스쿠터용 튜브 및 소형 타이어를 제조하고 유통사·모빌리티 공유업체에 도매 공급. 재생고무 사용 라인으로 원가 경쟁력 확보.",False,251102,고무 타이어 및 튜브 제조업,,고무 타이어 및 튜브 제조업: 차량(소형 이동수단 포함)용 타이어·튜브 제조,고무 혼합·형성·가황을 통해 튜브·타이어를 직접 제조·판매하는 활동은 251102(고무 타이어 및 튜브 제조업)에 해당함.,OK,1,,,,
D0041,명확단일,제조·가공,프리미엄 화장품·식품용 판지 상자(리테일 박스) 생산,중소 화장품·식품 브랜드는 소량의 고급 판지박스(특수코팅·형압·내부 칸막이 포함)를 합리적 가격으로 맞춤 제작하기 어려움.,"판지 원단을 절단·접합·코팅·형압하여 화장품 케이스, 선물용 리테일 박스, 내부 칸막이·삽입물을 포함한 판지 상자(골판지 제외)를 제조해 소규모 브랜드·디자인 스튜디오에 B2B 납품 및 온·오프라인 판매.",False,210201,판지 상자 및 용기 제조업,,판지 상자 및 용기 제조업: 판지로 포장용·디스플레이용 박스 및 칸막이 제조,판지 원단을 가공해 상품 포장 박스 및 삽입물을 제조·판매하는 활동은 210201(판지 상자 및 용기 제조업)에 부합함.,OK,1,,,,
